DATASET = CO2018 freestyle
NAME = Instance 4

DAYS = 40
186 675 471
187 372 446
188 318 477
189 465 404
190 523 728
191 305 349
192 201 361
193 413 161
194 192 386
195 408 296
196 724 467
197 325 470
198 486 21
199 337 478
200 234 331
201 384 348
202 510 15
203 199 380
204 302 443
205 386 177
206 389 392
207 478 665
208 272 524
209 534 529
210 475 451
211 259 308
212 288 385
213 600 634

REQUESTS = 600
1 93 1 5 1 1
2 194 1 4 4 1
3 130 1 5 3 2
4 94 1 3 1 2
5 160 1 2 4 1
6 184 1 3 5 3
7 200 1 4 5 1
8 63 1 6 2 1
9 9 1 3 1 1
10 6 1 6 5 1
11 9 1 6 2 1
12 25 1 3 3 1
13 176 1 5 5 3
14 157 1 2 4 1
15 66 1 3 2 1
16 128 1 4 4 1
17 199 1 3 1 2
18 156 1 2 1 1
19 84 1 6 3 2
20 169 1 3 2 2
21 180 1 4 3 1
22 175 2 6 4 1
23 199 2 3 2 1
24 108 2 7 1 2
25 107 2 3 3 1
26 97 2 4 2 2
27 188 2 7 1 2
28 120 2 6 1 2
29 131 2 6 4 1
30 28 2 6 4 1
31 186 2 5 3 1
32 112 2 6 1 1
33 197 2 7 2 2
34 151 2 3 4 1
35 179 2 5 4 1
36 84 2 6 5 3
37 101 2 7 4 1
38 100 2 5 3 2
39 168 2 7 3 1
40 35 2 4 4 1
41 111 2 5 3 1
42 108 2 3 1 2
43 54 2 6 4 1
44 162 2 3 2 2
45 140 3 4 5 3
46 111 3 8 2 2
47 169 3 6 3 2
48 79 3 6 2 1
49 57 3 5 3 2
50 94 3 4 3 1
51 33 3 4 4 1
52 83 3 4 2 1
53 178 3 5 3 2
54 147 3 8 2 1
55 16 3 4 3 2
56 109 3 4 2 1
57 104 3 4 3 1
58 146 3 6 4 1
59 52 3 5 5 2
60 156 3 4 1 2
61 81 4 6 5 1
62 174 4 7 4 1
63 197 4 8 3 1
64 115 4 9 4 1
65 195 4 7 5 2
66 78 4 6 5 1
67 54 4 6 3 2
68 152 4 8 4 1
69 53 4 5 4 1
70 158 4 7 2 2
71 200 4 7 3 1
72 14 4 6 3 2
73 169 4 8 5 2
74 195 4 5 5 2
75 201 4 7 1 1
76 81 4 7 2 1
77 83 4 6 4 1
78 101 4 7 1 2
79 15 4 8 1 1
80 24 4 6 4 1
81 12 4 7 1 1
82 146 4 7 2 1
83 15 4 9 5 1
84 102 4 8 2 2
85 96 5 6 3 2
86 186 5 7 3 2
87 98 5 8 1 2
88 65 5 10 2 2
89 109 5 8 2 1
90 71 5 6 2 1
91 172 5 7 2 1
92 26 5 8 3 1
93 200 5 6 1 1
94 58 5 6 1 1
95 103 5 7 4 1
96 46 5 9 2 2
97 97 5 7 1 2
98 189 5 8 2 2
99 106 5 9 3 2
100 25 5 7 4 1
101 75 5 10 1 1
102 4 5 8 3 2
103 169 5 6 5 3
104 124 6 11 5 2
105 147 6 7 2 1
106 99 6 11 3 1
107 199 6 9 5 3
108 192 6 7 1 1
109 140 6 8 3 1
110 107 6 11 3 1
111 90 6 9 3 1
112 80 6 10 5 1
113 76 6 8 3 2
114 137 6 8 4 1
115 47 6 9 1 2
116 146 6 9 4 1
117 94 6 10 2 1
118 82 6 11 4 1
119 107 6 7 4 1
120 57 6 9 1 1
121 62 6 8 5 1
122 30 6 7 5 2
123 54 7 9 5 3
124 33 7 8 4 1
125 116 7 12 3 1
126 121 7 11 1 2
127 195 7 11 2 2
128 18 7 11 5 3
129 141 7 10 5 2
130 126 7 8 5 2
131 149 7 8 4 1
132 193 7 8 2 1
133 158 7 9 2 2
134 144 7 9 5 2
135 112 7 8 1 1
136 161 7 9 3 1
137 40 7 9 3 1
138 62 7 8 4 1
139 66 8 9 4 1
140 44 8 13 1 1
141 43 8 11 5 3
142 167 8 9 4 1
143 98 8 12 5 1
144 43 8 12 3 2
145 157 8 10 5 1
146 19 8 10 1 1
147 198 8 13 4 1
148 57 8 11 2 2
149 86 8 10 3 1
150 28 8 9 5 2
151 127 8 13 1 1
152 7 8 9 1 2
153 59 8 10 1 2
154 186 8 12 4 1
155 16 9 14 3 1
156 149 9 11 3 1
157 186 9 12 4 1
158 12 9 14 2 2
159 74 9 12 1 1
160 3 9 14 1 2
161 117 9 14 2 1
162 29 9 11 5 3
163 188 9 14 3 1
164 18 9 11 1 2
165 57 9 10 3 1
166 96 9 14 1 2
167 36 9 12 2 1
168 123 9 10 4 1
169 182 9 12 2 1
170 73 9 12 3 1
171 36 9 11 4 1
172 174 9 10 2 1
173 190 9 13 2 1
174 21 9 11 2 1
175 193 9 11 3 2
176 115 9 14 3 2
177 3 10 11 5 2
178 14 10 11 2 1
179 73 10 13 3 1
180 16 10 12 5 1
181 78 10 13 4 1
182 195 10 11 1 1
183 196 10 13 1 1
184 151 10 14 1 1
185 198 10 12 2 1
186 82 10 14 3 1
187 54 10 12 5 2
188 129 10 13 5 3
189 118 10 12 3 2
190 143 10 15 4 1
191 134 11 15 4 1
192 8 11 14 1 2
193 201 11 12 3 2
194 78 11 16 1 1
195 191 11 13 4 1
196 120 11 15 5 3
197 89 11 12 4 1
198 75 11 13 1 2
199 39 11 16 5 2
200 40 11 15 2 1
201 37 11 16 1 2
202 159 11 16 2 2
203 53 11 13 2 1
204 115 11 14 4 1
205 185 11 13 2 1
206 59 11 14 3 1
207 92 11 14 1 2
208 160 11 12 5 1
209 110 11 12 5 3
210 114 11 14 5 2
211 132 11 14 2 2
212 183 11 16 4 1
213 117 11 13 4 1
214 8 11 12 1 2
215 100 11 13 3 2
216 127 11 15 3 1
217 87 12 14 3 2
218 134 12 13 2 1
219 131 12 14 3 1
220 117 12 17 3 2
221 113 12 13 3 2
222 59 12 17 3 1
223 79 12 14 4 1
224 168 12 16 2 2
225 169 12 15 3 1
226 88 12 16 3 2
227 40 12 13 5 3
228 22 12 17 3 1
229 31 12 13 3 2
230 85 12 17 3 2
231 45 12 14 5 3
232 70 12 17 5 3
233 43 12 14 5 1
234 30 12 16 5 1
235 173 12 17 5 2
236 57 13 17 4 1
237 156 13 18 4 1
238 50 13 14 4 1
239 102 13 17 1 2
240 29 13 15 4 1
241 199 13 16 4 1
242 11 13 18 5 2
243 161 13 18 3 1
244 139 13 18 3 2
245 53 13 17 3 1
246 77 13 14 2 2
247 164 13 17 5 1
248 116 13 17 4 1
249 182 13 15 2 2
250 146 13 18 2 2
251 167 14 17 3 2
252 191 14 16 2 2
253 72 14 18 5 1
254 118 14 19 5 3
255 155 14 15 4 1
256 136 14 18 2 1
257 2 14 17 1 1
258 9 14 18 5 2
259 150 14 17 1 1
260 169 14 17 2 2
261 93 14 19 1 1
262 44 14 15 4 1
263 23 14 15 1 1
264 97 14 19 5 1
265 41 14 17 5 2
266 151 14 18 5 2
267 187 14 18 1 1
268 80 14 19 3 1
269 88 14 15 2 2
270 69 14 16 2 1
271 148 14 17 3 1
272 111 14 15 5 1
273 151 15 18 5 2
274 173 15 19 3 2
275 144 15 19 2 1
276 95 15 20 3 2
277 100 15 18 3 2
278 71 15 17 2 2
279 12 15 19 1 2
280 174 15 18 2 2
281 130 15 19 1 1
282 47 15 19 5 1
283 34 15 20 3 1
284 37 15 17 2 1
285 79 15 16 3 1
286 34 15 16 2 2
287 91 15 18 2 1
288 93 15 18 5 2
289 82 15 17 2 2
290 48 15 20 4 1
291 98 15 19 5 3
292 83 15 19 4 1
293 119 15 20 2 2
294 109 16 18 4 1
295 56 16 19 2 2
296 185 16 19 2 2
297 106 16 17 3 2
298 74 16 18 2 2
299 127 16 19 5 3
300 160 16 18 2 1
301 33 16 20 1 1
302 83 16 17 4 1
303 179 16 21 1 2
304 186 16 18 2 1
305 174 16 20 2 1
306 142 16 21 3 2
307 176 16 17 3 1
308 38 17 20 5 2
309 150 17 19 4 1
310 184 17 20 4 1
311 192 17 22 3 2
312 159 17 21 1 1
313 195 17 19 4 1
314 110 17 18 2 1
315 154 17 22 5 2
316 55 17 18 5 2
317 87 17 19 1 2
318 100 17 21 2 1
319 187 17 18 5 2
320 151 17 21 4 1
321 37 18 23 4 1
322 141 18 19 1 1
323 41 18 19 4 1
324 26 18 19 4 1
325 163 18 19 2 1
326 201 18 20 1 2
327 50 18 23 4 1
328 106 18 23 4 1
329 163 18 21 1 2
330 154 18 21 3 2
331 56 18 20 2 1
332 143 19 20 2 1
333 110 19 22 3 2
334 36 19 20 1 1
335 120 19 22 3 2
336 89 19 21 3 1
337 77 19 23 2 1
338 60 19 23 1 2
339 36 19 24 3 2
340 63 19 22 5 1
341 112 19 23 3 2
342 10 19 21 5 1
343 62 19 22 2 2
344 48 19 21 2 1
345 189 19 21 2 1
346 138 19 24 4 1
347 20 20 22 1 1
348 81 20 21 2 2
349 51 20 22 5 1
350 13 20 23 3 2
351 105 20 21 2 2
352 163 20 23 1 1
353 48 20 24 1 1
354 95 20 25 4 1
355 138 20 23 3 2
356 133 20 21 5 1
357 142 20 24 2 1
358 171 20 22 1 2
359 145 20 21 5 2
360 167 20 23 1 1
361 41 20 22 4 1
362 175 20 21 2 2
363 27 20 22 2 1
364 58 20 25 3 1
365 167 20 23 1 2
366 154 20 21 5 1
367 160 20 21 3 1
368 164 20 21 3 1
369 167 20 24 2 1
370 94 21 22 2 2
371 140 21 24 3 2
372 86 21 24 1 1
373 177 21 25 1 1
374 144 21 22 3 1
375 68 21 26 1 2
376 104 21 22 1 2
377 111 21 23 3 1
378 169 21 24 4 1
379 60 21 23 4 1
380 51 21 22 2 2
381 152 21 23 4 1
382 176 21 26 3 1
383 54 21 24 4 1
384 89 22 26 2 1
385 62 22 26 4 1
386 119 22 26 4 1
387 101 22 26 2 1
388 185 22 23 2 1
389 149 22 27 2 2
390 194 22 23 5 1
391 194 22 23 3 1
392 169 22 27 2 2
393 189 22 24 2 2
394 7 22 27 1 1
395 151 22 26 3 1
396 114 22 25 2 1
397 37 23 26 3 2
398 160 23 26 5 1
399 158 23 27 4 1
400 190 23 25 5 3
401 105 23 27 1 1
402 47 23 27 4 1
403 84 23 24 2 2
404 129 23 27 5 2
405 188 23 28 1 1
406 104 23 28 4 1
407 148 23 26 3 2
408 7 23 25 4 1
409 45 23 26 3 2
410 15 23 26 4 1
411 106 23 25 3 2
412 23 23 27 1 1
413 138 23 25 3 1
414 112 24 27 2 1
415 107 24 26 3 1
416 162 24 28 4 1
417 113 24 28 4 1
418 153 24 28 4 1
419 193 24 26 5 2
420 87 24 26 1 1
421 139 24 25 1 2
422 78 24 26 4 1
423 48 24 29 2 2
424 147 24 26 3 2
425 197 24 25 2 2
426 30 24 27 4 1
427 192 24 29 2 2
428 34 24 26 2 1
429 156 24 29 4 1
430 147 24 25 4 1
431 62 25 28 4 1
432 126 25 28 5 2
433 134 25 30 5 3
434 162 25 28 4 1
435 12 25 27 5 2
436 102 25 30 1 1
437 157 25 29 5 3
438 5 25 26 3 1
439 143 25 30 3 2
440 82 25 30 4 1
441 30 25 30 3 2
442 104 25 26 1 2
443 3 25 27 5 1
444 12 25 28 5 1
445 122 25 27 4 1
446 72 25 27 3 1
447 73 26 29 5 1
448 192 26 29 4 1
449 189 26 29 2 2
450 166 26 31 2 1
451 14 26 27 3 1
452 29 26 28 5 1
453 113 26 29 1 1
454 173 26 28 3 1
455 107 26 27 1 1
456 71 26 27 2 2
457 182 26 31 4 1
458 71 26 29 5 3
459 165 26 31 4 1
460 112 26 27 5 2
461 61 26 31 3 2
462 161 26 30 1 2
463 112 26 27 2 2
464 88 26 28 1 1
465 197 26 31 4 1
466 94 26 29 3 2
467 91 26 28 1 2
468 25 26 31 2 2
469 137 26 30 1 1
470 133 27 30 5 2
471 135 27 30 4 1
472 102 27 29 4 1
473 122 27 31 3 1
474 22 27 31 1 1
475 133 27 29 3 2
476 25 27 30 2 1
477 66 27 29 5 1
478 112 27 31 1 1
479 34 27 29 5 1
480 164 27 30 3 1
481 82 27 29 5 2
482 15 27 30 2 2
483 120 27 32 3 1
484 86 27 31 4 1
485 62 27 28 3 1
486 180 27 32 5 1
487 91 27 30 4 1
488 123 27 28 3 2
489 121 27 32 4 1
490 87 28 31 1 2
491 29 28 31 5 1
492 133 28 32 1 2
493 44 28 29 1 1
494 134 28 30 1 2
495 52 28 32 1 2
496 163 28 32 3 2
497 67 28 30 2 2
498 132 28 29 4 1
499 119 28 31 1 1
500 23 28 32 1 1
501 55 29 30 5 2
502 35 29 34 2 1
503 114 29 31 5 2
504 78 29 34 1 2
505 157 29 34 4 1
506 20 29 31 1 2
507 85 29 34 3 1
508 95 29 34 1 2
509 163 29 32 4 1
510 2 29 30 4 1
511 164 29 34 1 2
512 7 29 34 3 2
513 127 29 30 4 1
514 159 29 32 2 2
515 100 29 33 3 1
516 184 29 34 1 1
517 146 29 32 3 2
518 128 29 30 2 2
519 193 29 34 4 1
520 200 29 33 3 1
521 74 30 35 5 3
522 124 30 31 2 1
523 36 30 35 2 2
524 136 30 32 3 2
525 164 30 33 1 1
526 143 30 32 4 1
527 117 30 31 1 1
528 127 30 35 4 1
529 84 30 35 2 2
530 21 30 33 2 1
531 40 30 33 1 1
532 118 30 33 2 2
533 163 30 33 1 1
534 200 30 33 5 2
535 32 30 32 2 2
536 75 31 35 4 1
537 154 31 34 1 2
538 134 31 35 3 1
539 78 31 34 4 1
540 77 31 36 3 1
541 2 31 32 3 1
542 119 31 35 3 1
543 10 31 33 3 2
544 156 31 32 4 1
545 184 31 34 2 2
546 194 31 34 1 2
547 61 31 32 1 2
548 156 31 32 3 2
549 132 31 33 1 2
550 128 32 37 3 1
551 21 32 34 2 2
552 196 32 35 2 2
553 65 32 33 1 1
554 110 32 33 4 1
555 81 32 35 4 1
556 51 32 35 4 1
557 6 32 35 5 3
558 90 32 37 2 2
559 74 32 35 1 1
560 127 32 33 4 1
561 117 32 36 4 1
562 53 32 37 2 1
563 21 32 36 2 1
564 172 32 33 1 2
565 136 32 36 1 1
566 143 32 36 3 1
567 19 32 37 2 1
568 92 32 37 4 1
569 181 32 36 5 1
570 36 32 33 3 2
571 62 32 34 2 1
572 44 33 34 2 1
573 76 33 37 4 1
574 78 33 37 3 2
575 181 33 36 2 2
576 175 33 36 4 1
577 193 33 38 1 2
578 84 33 38 2 1
579 3 33 38 2 1
580 149 33 38 2 2
581 105 33 36 1 2
582 143 33 38 1 2
583 2 33 37 3 2
584 4 33 36 2 1
585 186 34 35 1 1
586 11 34 38 5 2
587 35 34 38 5 3
588 180 34 38 1 2
589 21 34 39 4 1
590 98 34 37 3 2
591 54 34 36 1 2
592 163 34 37 3 1
593 128 34 39 4 1
594 78 34 39 4 1
595 185 34 39 3 2
596 179 34 39 5 1
597 31 34 38 4 1
598 198 34 36 3 2
599 132 34 37 1 1
600 187 34 36 3 1

TECHNICIANS = 125
1 202 390 5 0 0 0 0 1
2 183 1150 10 0 1 0 0 0
3 165 351 5 1 1 0 1 0
4 1 724 8 1 0 0 0 0
5 1 1325 10 0 0 1 0 0
6 1 834 8 0 0 1 1 1
7 1 380 7 0 1 0 1 1
8 160 817 9 1 0 0 0 0
9 127 1268 6 0 0 1 0 1
10 203 416 5 0 1 1 1 0
11 36 955 10 1 1 0 0 1
12 1 460 9 0 1 0 0 1
13 167 924 8 1 1 1 1 0
14 72 1037 7 1 1 1 0 0
15 74 888 6 0 0 1 1 1
16 145 292 5 1 0 0 0 0
17 1 394 5 1 0 1 1 1
18 131 433 6 1 0 1 0 1
19 54 1203 10 1 0 0 1 0
20 1 1160 9 1 1 1 0 1
21 1 1002 6 1 0 0 0 0
22 113 371 6 0 0 0 0 1
23 199 872 7 0 1 0 1 0
24 155 919 9 1 0 0 0 0
25 204 201 9 1 1 0 1 0
26 105 562 7 0 1 1 1 1
27 87 891 8 0 0 0 1 1
28 205 1320 5 0 1 0 0 0
29 1 639 10 0 0 1 1 1
30 1 375 5 0 0 0 0 1
31 1 217 10 0 1 0 1 1
32 1 665 6 0 1 1 0 1
33 175 1158 9 0 0 0 1 1
34 1 819 7 0 0 1 1 1
35 1 588 6 1 0 0 0 1
36 1 1222 8 0 0 1 0 0
37 152 1285 6 1 0 1 0 0
38 194 918 6 1 1 0 0 1
39 1 259 6 0 0 1 1 0
40 1 660 7 1 0 1 1 1
41 1 704 7 0 1 1 1 1
42 6 1128 9 0 1 1 1 1
43 1 1369 7 0 1 1 0 0
44 1 1040 8 0 1 0 0 0
45 93 777 6 1 1 0 0 0
46 29 826 8 0 0 1 0 1
47 70 883 6 0 1 0 0 0
48 35 374 7 1 0 1 1 0
49 1 201 5 1 1 0 1 0
50 24 958 7 0 1 0 1 1
51 1 596 8 1 0 0 1 0
52 1 1456 8 1 1 0 1 0
53 206 1449 7 0 1 0 1 0
54 207 1262 5 0 1 1 1 1
55 1 266 10 1 1 1 1 0
56 208 287 9 1 1 1 0 1
57 137 1032 10 1 0 0 1 1
58 138 819 8 1 0 0 0 0
59 54 631 10 1 1 1 1 0
60 196 1266 8 1 0 0 1 1
61 129 1149 6 1 0 1 0 1
62 1 909 6 1 0 1 0 0
63 1 603 8 0 0 0 1 0
64 162 829 10 0 0 1 1 0
65 1 325 6 0 1 0 0 0
66 177 320 9 1 1 0 0 0
67 1 1034 6 1 1 1 1 0
68 1 1082 5 1 0 0 0 0
69 1 448 6 0 1 0 0 0
70 1 1287 10 0 0 0 0 1
71 1 1385 10 1 1 1 0 1
72 111 265 5 1 0 1 0 0
73 1 1431 7 0 1 0 0 1
74 2 918 6 1 0 1 0 1
75 65 1113 9 1 0 1 0 0
76 165 356 8 0 1 1 0 1
77 149 1025 10 1 1 0 0 0
78 121 1044 8 1 0 0 1 0
79 1 188 8 1 0 1 0 1
80 209 1178 7 0 1 0 0 0
81 86 575 10 1 0 1 0 1
82 20 741 7 1 0 0 1 0
83 53 1302 6 1 1 1 0 1
84 171 1288 10 0 0 0 0 1
85 136 758 5 1 0 1 0 0
86 1 593 10 0 0 0 1 0
87 78 265 6 1 0 0 0 0
88 1 851 9 1 0 1 1 0
89 184 999 8 1 0 1 0 1
90 1 448 10 1 1 0 1 1
91 197 243 6 1 0 1 0 0
92 1 807 10 1 1 1 0 1
93 150 882 9 1 1 1 0 1
94 1 558 9 0 0 0 1 0
95 1 733 6 1 1 1 0 1
96 1 543 10 1 0 0 0 1
97 189 516 10 0 1 0 0 1
98 1 1273 7 0 0 1 1 0
99 1 456 8 0 1 0 0 0
100 1 1402 7 0 1 1 1 0
101 1 1432 10 0 0 1 1 1
102 125 1480 10 0 0 0 1 0
103 155 386 10 1 1 0 1 0
104 1 232 6 1 1 1 0 1
105 1 1185 8 0 0 0 1 1
106 1 611 5 0 0 0 0 1
107 108 1327 9 1 0 0 1 1
108 210 840 6 1 1 0 1 1
109 1 587 6 0 0 1 1 0
110 15 1001 10 1 0 0 0 0
111 128 615 8 1 0 1 0 0
112 211 1400 9 1 1 0 0 1
113 1 1187 6 1 1 0 1 1
114 33 529 9 1 1 1 1 0
115 1 367 8 0 1 0 0 1
116 175 886 6 0 0 1 1 1
117 62 1028 6 0 1 0 0 0
118 29 1407 6 1 0 1 1 1
119 212 690 8 1 1 1 1 0
120 157 1224 7 1 0 1 1 0
121 1 907 6 0 0 1 1 0
122 213 653 10 0 1 1 1 0
123 1 161 10 0 0 1 0 1
124 102 490 7 0 1 0 0 0
125 1 718 10 0 1 1 1 1

