DATASET = CO2018 freestyle
NAME = Instance 5

DAYS = 50
184 725 425
185 343 550
186 525 360
187 544 433
188 550 421
189 363 269
190 439 517
191 200 388
192 279 243
193 100 215
194 355 365
195 733 691
196 358 397
197 655 397
198 500 719
199 665 497
200 404 268
201 651 674
202 487 442
203 212 321
204 556 365
205 375 441
206 345 638
207 519 348
208 332 448
209 186 378
210 340 388
211 440 190
212 240 352
213 571 462
214 320 489
215 436 688
216 710 436
217 35 204
218 537 446
219 582 318
220 297 493
221 475 210
222 485 141
223 436 426
224 305 490
225 218 343
226 425 327
227 532 224
228 423 191
229 269 360
230 230 222
231 698 585
232 276 365
233 189 383
234 189 392
235 248 314
236 270 456
237 313 476
238 487 183
239 277 517
240 338 414
241 195 356
242 556 431
243 398 481
244 517 359
245 294 242
246 467 198
247 559 340
248 226 329
249 474 302
250 511 326
251 535 759
252 264 304
253 576 690
254 315 486
255 483 398
256 542 361
257 318 385
258 295 311
259 304 466
260 548 110
261 354 325
262 546 585
263 704 559
264 534 525
265 550 114
266 204 385

REQUESTS = 750
1 228 1 4 4 1
2 143 1 6 1 3
3 46 1 2 5 1
4 95 1 6 4 1
5 175 1 4 4 2
6 9 1 3 4 1
7 3 1 2 3 3
8 61 1 5 6 2
9 41 1 6 2 1
10 18 1 4 1 3
11 72 1 3 1 3
12 148 1 2 4 1
13 144 1 2 2 1
14 46 2 3 4 1
15 17 2 4 6 3
16 24 2 5 2 3
17 187 2 4 3 3
18 198 2 5 2 2
19 40 2 6 5 1
20 150 2 5 6 1
21 250 2 3 3 2
22 42 2 4 1 3
23 132 2 4 5 1
24 84 2 5 6 1
25 126 2 7 2 3
26 37 2 3 5 1
27 51 2 5 4 1
28 160 2 6 5 1
29 43 2 7 2 2
30 83 2 7 2 1
31 7 2 4 5 1
32 169 2 3 4 2
33 236 2 4 1 2
34 129 3 4 3 3
35 23 3 6 2 3
36 110 3 7 1 1
37 136 3 6 6 1
38 244 3 5 1 3
39 75 3 7 2 3
40 32 3 4 5 1
41 233 3 8 6 3
42 58 3 4 6 2
43 76 3 7 6 3
44 187 3 7 6 3
45 28 3 8 1 1
46 44 3 7 3 2
47 6 3 6 2 1
48 137 3 8 6 2
49 237 3 4 3 1
50 149 3 8 4 1
51 199 4 5 6 2
52 187 4 6 1 1
53 99 4 7 6 3
54 161 4 5 2 2
55 127 4 6 3 1
56 14 4 9 5 1
57 169 4 8 2 1
58 154 4 7 3 3
59 77 4 9 6 3
60 186 4 7 3 1
61 37 4 8 3 2
62 35 4 9 5 1
63 212 4 9 2 1
64 172 4 8 6 3
65 179 4 7 5 1
66 169 4 8 3 1
67 233 4 8 2 2
68 12 4 9 2 3
69 19 4 8 4 1
70 140 5 9 2 2
71 143 5 8 3 3
72 40 5 9 3 2
73 38 5 10 6 1
74 173 5 8 4 1
75 6 5 9 5 1
76 214 5 7 5 1
77 5 5 10 2 2
78 42 5 7 6 1
79 91 5 10 5 1
80 187 5 6 3 1
81 60 5 8 3 1
82 43 5 9 4 2
83 231 5 8 3 1
84 178 5 10 6 3
85 195 5 7 6 3
86 91 5 7 6 2
87 8 5 7 3 2
88 103 5 8 1 3
89 115 5 7 6 2
90 103 5 8 3 2
91 4 6 8 4 1
92 181 6 8 5 1
93 200 6 11 2 2
94 25 6 10 4 2
95 56 6 9 4 2
96 25 6 11 6 3
97 44 6 11 6 1
98 191 6 8 4 1
99 54 6 9 5 1
100 52 6 9 3 1
101 144 6 9 3 2
102 14 6 10 5 1
103 156 6 9 3 3
104 204 6 8 3 3
105 189 6 8 3 2
106 153 6 11 1 1
107 60 7 9 6 3
108 129 7 11 6 2
109 140 7 10 2 3
110 72 7 12 4 2
111 62 7 11 4 2
112 78 7 10 5 1
113 154 7 12 6 1
114 188 7 9 4 1
115 28 7 8 4 1
116 227 7 10 4 2
117 112 7 9 3 3
118 181 7 9 4 2
119 138 7 9 4 1
120 107 7 12 5 1
121 6 7 12 2 2
122 72 7 9 4 1
123 224 7 11 1 2
124 196 7 9 6 3
125 201 7 9 5 1
126 62 7 12 1 1
127 3 7 12 2 1
128 232 7 10 5 1
129 159 7 10 4 1
130 105 8 11 3 2
131 222 8 10 4 1
132 180 8 12 3 3
133 64 8 13 3 1
134 187 8 10 3 1
135 191 8 12 5 1
136 101 8 12 2 3
137 171 8 11 5 1
138 185 8 10 2 3
139 236 8 13 6 1
140 7 8 9 5 1
141 206 8 13 5 1
142 144 8 10 5 1
143 203 8 11 4 1
144 163 8 9 1 1
145 97 8 12 1 3
146 15 8 12 1 3
147 156 8 11 1 3
148 104 8 12 4 1
149 205 8 9 5 1
150 46 8 13 3 2
151 99 9 12 3 1
152 100 9 12 4 2
153 189 9 14 2 3
154 151 9 13 2 2
155 68 9 12 5 1
156 123 9 11 6 2
157 150 9 12 1 2
158 16 9 13 6 3
159 163 9 11 1 1
160 126 9 14 5 1
161 223 9 12 2 2
162 114 9 13 5 1
163 250 9 11 1 1
164 191 9 12 4 1
165 47 10 11 5 1
166 95 10 11 4 2
167 209 10 12 4 2
168 249 10 14 5 1
169 217 10 13 1 3
170 34 10 11 2 2
171 192 10 13 3 2
172 114 10 13 6 1
173 214 10 12 2 1
174 219 10 11 5 1
175 67 10 15 5 1
176 94 10 15 2 3
177 225 10 13 1 1
178 105 10 12 4 2
179 48 11 16 6 1
180 28 11 15 1 1
181 47 11 14 2 1
182 237 11 13 4 2
183 60 11 15 6 2
184 235 11 14 5 1
185 166 11 12 5 1
186 146 11 14 5 1
187 220 11 14 3 2
188 127 11 13 4 2
189 21 11 16 2 3
190 2 11 16 1 2
191 118 11 12 3 3
192 78 11 15 3 3
193 124 11 16 2 1
194 207 11 13 2 3
195 249 11 15 1 1
196 248 11 16 2 1
197 230 11 13 1 3
198 173 11 14 4 2
199 166 11 14 5 1
200 8 12 14 5 1
201 128 12 15 5 1
202 98 12 16 6 3
203 67 12 15 4 1
204 223 12 14 6 3
205 68 12 13 3 2
206 239 12 15 6 1
207 248 12 14 5 1
208 47 12 17 6 2
209 45 12 16 5 1
210 245 12 16 5 1
211 5 12 14 1 3
212 90 12 14 3 1
213 201 12 15 5 1
214 222 12 14 5 1
215 33 12 14 3 2
216 9 12 15 2 2
217 56 12 17 5 1
218 40 13 18 1 2
219 184 13 18 4 2
220 162 13 16 1 1
221 218 13 17 4 1
222 24 13 17 1 1
223 187 13 17 5 1
224 195 13 14 2 1
225 190 13 18 4 2
226 129 13 15 4 1
227 162 13 15 3 2
228 55 13 16 3 2
229 133 13 16 3 2
230 176 13 15 1 2
231 116 13 14 2 2
232 237 13 15 2 1
233 17 13 18 2 2
234 72 14 15 5 1
235 120 14 18 3 1
236 108 14 17 4 1
237 67 14 15 3 3
238 161 14 18 3 3
239 133 14 18 5 1
240 175 14 16 6 3
241 241 14 18 3 1
242 240 14 18 4 2
243 57 14 15 6 1
244 53 14 17 5 1
245 14 14 18 6 3
246 201 14 15 1 3
247 211 14 17 5 1
248 114 14 16 1 1
249 31 14 19 6 3
250 237 14 16 6 1
251 116 14 18 1 1
252 12 14 16 6 1
253 189 14 18 2 1
254 107 14 17 4 2
255 65 14 17 5 1
256 243 14 19 6 1
257 212 14 18 6 1
258 85 14 15 6 2
259 169 15 18 5 1
260 218 15 16 1 1
261 18 15 17 1 3
262 193 15 19 1 2
263 84 15 18 1 2
264 173 16 19 3 3
265 99 16 21 1 1
266 203 16 20 6 3
267 21 16 20 5 1
268 54 16 19 1 3
269 208 16 19 5 1
270 76 16 17 2 2
271 175 16 21 4 2
272 18 16 17 2 1
273 182 16 21 6 3
274 144 16 18 1 1
275 126 16 21 1 3
276 205 16 17 3 3
277 14 16 17 6 2
278 158 16 19 6 2
279 202 16 21 5 1
280 39 16 17 5 1
281 233 17 22 3 3
282 118 17 21 3 3
283 97 17 21 2 1
284 126 17 22 6 2
285 187 17 19 4 2
286 47 17 20 1 2
287 248 17 19 3 2
288 214 17 19 5 1
289 180 17 21 4 1
290 4 17 18 4 1
291 212 17 19 1 2
292 62 17 21 2 3
293 188 17 18 3 1
294 25 17 20 1 2
295 116 17 19 2 1
296 11 17 19 3 2
297 205 17 19 2 1
298 88 17 21 5 1
299 128 17 21 4 2
300 217 18 19 2 2
301 189 18 21 4 1
302 196 18 21 6 2
303 125 18 22 2 3
304 198 18 20 4 1
305 177 18 23 5 1
306 26 18 21 4 2
307 49 18 19 5 1
308 146 18 21 5 1
309 141 18 19 1 1
310 33 18 20 6 3
311 2 18 23 5 1
312 133 18 22 5 1
313 215 18 21 6 1
314 7 18 23 2 3
315 29 18 19 1 2
316 94 19 21 1 1
317 89 19 23 6 2
318 249 19 21 5 1
319 87 19 21 4 1
320 146 19 22 4 1
321 161 19 23 3 3
322 9 19 22 1 1
323 215 19 20 4 2
324 142 19 21 5 1
325 36 19 23 4 1
326 38 19 21 1 2
327 112 19 20 3 3
328 69 19 23 2 2
329 197 19 24 5 1
330 95 19 22 6 2
331 203 20 24 4 1
332 81 20 22 2 3
333 98 20 21 1 2
334 182 20 23 6 3
335 116 20 22 6 1
336 9 20 22 6 1
337 158 20 23 4 1
338 250 20 25 3 2
339 94 20 25 2 2
340 97 20 25 6 1
341 141 20 22 6 2
342 196 20 24 3 2
343 148 20 25 6 3
344 81 20 23 6 1
345 182 20 23 1 3
346 73 20 22 2 1
347 251 20 23 5 1
348 168 21 23 3 2
349 185 21 24 2 3
350 141 21 23 1 1
351 79 21 25 1 3
352 34 21 22 3 1
353 88 21 22 4 2
354 195 21 26 6 2
355 92 21 25 5 1
356 97 21 25 6 1
357 57 21 26 4 1
358 180 21 25 4 2
359 161 22 25 5 1
360 38 22 23 5 1
361 203 22 27 2 3
362 165 22 25 2 3
363 19 22 24 3 1
364 44 22 25 5 1
365 121 22 24 4 1
366 116 22 23 5 1
367 145 22 24 4 2
368 187 22 26 3 2
369 156 22 23 4 1
370 159 22 23 3 1
371 99 22 24 3 2
372 249 22 24 4 1
373 127 22 26 4 1
374 127 22 27 4 1
375 235 22 24 2 3
376 77 22 27 3 2
377 108 22 23 3 3
378 61 22 26 5 1
379 219 22 27 5 1
380 2 22 26 4 2
381 93 22 23 6 2
382 229 22 25 3 1
383 112 22 27 3 3
384 134 23 28 3 1
385 30 23 26 2 1
386 106 23 25 5 1
387 122 23 28 6 1
388 225 23 28 6 2
389 6 23 27 1 1
390 105 23 25 3 1
391 122 23 24 2 2
392 41 23 26 6 1
393 160 23 24 1 1
394 121 23 25 5 1
395 241 23 26 5 1
396 94 23 26 1 3
397 95 23 28 1 1
398 215 23 26 5 1
399 48 23 26 6 1
400 37 23 27 1 1
401 129 23 25 1 1
402 207 23 26 5 1
403 34 23 27 4 2
404 60 23 25 4 2
405 223 23 25 3 1
406 203 23 25 6 1
407 248 23 28 5 1
408 164 24 27 5 1
409 180 24 27 3 1
410 40 24 25 2 3
411 13 24 27 2 2
412 150 24 27 2 2
413 85 24 25 5 1
414 163 24 26 4 2
415 244 24 26 1 1
416 75 24 29 3 2
417 214 24 25 5 1
418 34 24 26 5 1
419 198 24 28 6 1
420 11 24 28 4 1
421 164 24 29 2 3
422 45 24 25 6 3
423 109 24 25 2 2
424 221 24 27 3 2
425 172 24 28 4 2
426 86 24 29 5 1
427 159 24 27 6 1
428 228 24 26 2 1
429 158 24 26 1 2
430 193 24 26 3 1
431 41 24 28 4 2
432 136 25 26 5 1
433 5 25 27 6 1
434 101 25 27 1 1
435 131 25 28 1 1
436 132 25 28 4 2
437 18 25 27 5 1
438 183 25 29 2 3
439 95 25 30 3 3
440 114 25 27 5 1
441 4 25 26 4 1
442 64 25 26 2 2
443 167 25 28 1 1
444 216 25 30 1 3
445 58 25 26 5 1
446 116 25 27 4 2
447 3 25 26 1 1
448 194 25 29 6 2
449 34 25 30 6 2
450 71 25 30 6 3
451 35 26 29 2 3
452 230 26 28 5 1
453 101 26 31 5 1
454 13 26 30 4 2
455 208 26 29 4 2
456 70 26 31 2 2
457 128 26 30 1 3
458 65 26 30 6 2
459 135 26 30 5 1
460 219 26 31 5 1
461 123 26 29 5 1
462 238 26 28 4 2
463 39 26 28 2 2
464 140 26 31 4 1
465 154 26 28 3 3
466 29 26 28 3 3
467 185 27 29 3 3
468 65 27 28 5 1
469 223 27 32 2 3
470 109 27 29 2 3
471 208 27 29 6 2
472 218 27 29 6 1
473 89 27 31 4 1
474 86 27 29 1 1
475 52 27 31 2 1
476 116 27 29 1 1
477 36 27 28 4 1
478 193 27 32 5 1
479 56 27 28 2 3
480 24 27 30 6 3
481 234 27 28 1 3
482 44 27 30 2 1
483 233 27 30 4 2
484 144 27 30 2 2
485 190 27 31 1 3
486 4 27 30 1 2
487 125 28 31 4 1
488 222 28 31 1 1
489 205 28 32 4 1
490 132 28 32 3 1
491 57 28 32 5 1
492 145 28 33 2 2
493 202 28 33 4 1
494 17 28 30 2 1
495 19 28 30 4 1
496 138 28 29 4 1
497 82 28 32 2 3
498 24 28 31 5 1
499 166 28 31 4 1
500 83 28 29 4 2
501 231 28 31 3 3
502 245 28 32 2 2
503 2 28 33 6 2
504 204 28 30 4 1
505 251 28 29 3 1
506 209 28 32 3 2
507 118 28 32 5 1
508 225 28 32 5 1
509 106 28 29 4 2
510 220 28 31 5 1
511 121 28 29 3 2
512 94 28 33 1 3
513 45 28 30 1 3
514 231 28 31 4 2
515 217 28 31 5 1
516 243 29 32 5 1
517 241 29 34 3 1
518 93 29 32 1 2
519 232 29 31 2 3
520 65 29 32 3 3
521 93 29 30 2 1
522 73 29 32 1 3
523 9 29 31 6 3
524 240 30 31 5 1
525 65 30 33 4 1
526 248 30 35 1 2
527 217 30 33 6 1
528 143 30 33 3 3
529 105 30 32 5 1
530 212 30 33 2 1
531 178 30 35 4 2
532 200 30 32 6 3
533 46 30 35 1 3
534 237 30 35 4 1
535 103 30 34 3 1
536 45 30 33 1 1
537 186 30 34 3 2
538 133 31 36 1 3
539 142 31 34 6 2
540 118 31 36 2 2
541 121 31 35 5 1
542 155 31 34 3 2
543 21 31 36 4 2
544 124 31 34 3 2
545 227 31 35 6 1
546 230 31 32 6 1
547 246 31 34 6 1
548 237 31 36 4 1
549 30 31 33 5 1
550 197 31 33 4 2
551 212 31 32 3 2
552 12 31 33 1 1
553 194 31 35 6 1
554 218 31 34 6 1
555 199 31 36 5 1
556 236 31 33 6 3
557 83 32 37 5 1
558 59 32 37 5 1
559 183 32 35 3 1
560 243 32 36 3 3
561 144 32 37 2 3
562 154 32 34 2 1
563 55 32 35 3 1
564 5 32 34 1 1
565 88 32 33 5 1
566 30 32 36 4 1
567 28 32 37 1 2
568 130 32 34 3 2
569 134 32 36 3 2
570 15 32 37 4 2
571 65 32 34 3 2
572 142 32 33 5 1
573 76 32 33 5 1
574 72 32 36 2 1
575 209 33 36 1 3
576 146 33 38 1 2
577 195 33 37 1 3
578 228 33 34 5 1
579 103 33 34 1 2
580 214 33 34 1 2
581 133 33 34 2 3
582 180 33 34 2 1
583 45 33 38 3 3
584 212 33 38 2 3
585 97 33 38 6 3
586 14 33 34 3 1
587 45 33 37 1 1
588 88 33 35 5 1
589 243 33 34 2 3
590 42 33 34 3 3
591 139 33 38 6 1
592 44 34 36 6 2
593 161 34 39 3 2
594 189 34 36 4 1
595 229 34 36 4 1
596 169 34 35 1 2
597 203 34 37 5 1
598 24 34 39 6 2
599 39 34 36 1 2
600 209 34 39 1 3
601 80 34 38 5 1
602 103 34 36 5 1
603 175 34 35 2 1
604 146 34 38 2 2
605 45 34 39 2 3
606 162 35 38 2 1
607 7 35 36 6 2
608 58 35 39 5 1
609 105 35 39 3 3
610 190 35 39 1 3
611 219 35 37 3 2
612 53 35 37 3 1
613 168 35 40 4 1
614 183 35 39 4 2
615 236 35 37 2 2
616 241 35 40 3 3
617 126 35 39 6 3
618 212 35 40 3 2
619 18 35 38 4 1
620 65 35 40 6 3
621 123 35 39 4 2
622 217 35 38 1 2
623 86 36 41 3 1
624 50 36 38 6 2
625 166 36 41 5 1
626 146 36 40 4 1
627 141 36 39 4 2
628 89 36 37 2 3
629 154 36 40 6 2
630 15 36 39 5 1
631 100 36 38 5 1
632 123 36 39 3 1
633 3 37 39 6 2
634 221 37 40 2 3
635 236 37 38 4 2
636 22 37 38 3 1
637 95 37 42 4 1
638 37 37 38 2 1
639 221 37 41 2 1
640 82 37 38 1 1
641 215 37 38 2 2
642 246 37 40 4 2
643 190 37 40 2 2
644 93 37 39 6 1
645 123 37 41 6 3
646 87 37 42 2 3
647 240 37 40 3 2
648 175 37 38 6 1
649 64 37 41 1 1
650 84 37 42 6 3
651 88 37 41 3 2
652 28 38 42 1 3
653 190 38 43 4 1
654 234 38 41 5 1
655 123 38 39 6 1
656 152 38 43 4 2
657 129 38 40 1 3
658 104 38 41 3 3
659 117 38 39 2 1
660 105 38 43 3 2
661 229 38 43 4 2
662 11 38 40 6 3
663 165 38 40 5 1
664 172 38 42 5 1
665 204 39 40 5 1
666 56 39 44 4 2
667 109 39 40 2 1
668 127 39 42 6 2
669 229 39 44 5 1
670 246 39 42 1 1
671 11 39 40 4 2
672 86 39 42 2 3
673 144 39 40 3 1
674 250 39 44 6 1
675 182 39 44 1 1
676 87 39 40 3 3
677 31 39 42 2 1
678 176 39 41 6 3
679 57 39 44 6 3
680 229 40 43 6 1
681 138 40 42 1 1
682 107 40 45 4 2
683 102 40 43 6 1
684 89 40 42 3 1
685 165 40 42 5 1
686 55 40 42 1 2
687 108 40 41 6 1
688 193 40 45 4 2
689 20 40 41 1 3
690 7 40 42 3 1
691 93 40 43 2 2
692 29 40 45 6 2
693 31 40 44 3 2
694 109 40 44 1 3
695 205 40 41 2 1
696 87 40 44 4 2
697 32 41 45 2 3
698 95 41 44 4 1
699 239 41 46 5 1
700 215 41 45 1 1
701 171 41 43 3 3
702 37 41 45 3 2
703 76 41 43 5 1
704 45 41 44 3 2
705 167 41 43 4 2
706 90 41 43 2 1
707 63 41 44 5 1
708 92 41 42 2 2
709 231 41 46 5 1
710 74 41 46 6 1
711 130 42 47 4 1
712 47 42 43 3 3
713 199 42 47 5 1
714 2 42 46 5 1
715 238 42 45 2 3
716 119 42 46 2 1
717 179 42 43 2 1
718 220 42 45 6 2
719 218 42 44 4 2
720 112 42 46 3 3
721 207 42 43 6 1
722 212 42 45 3 1
723 193 42 44 4 1
724 27 42 45 3 1
725 14 42 47 3 2
726 29 42 44 4 2
727 155 42 43 5 1
728 53 42 47 4 1
729 243 42 45 1 1
730 230 42 47 1 3
731 212 43 48 2 3
732 132 43 45 1 1
733 71 43 48 5 1
734 246 43 46 6 3
735 46 43 48 1 2
736 191 43 48 6 3
737 69 43 46 3 3
738 13 43 44 2 2
739 68 43 48 2 3
740 214 43 45 2 2
741 27 43 47 2 2
742 191 43 45 6 2
743 204 44 49 3 3
744 40 44 47 1 2
745 209 44 46 2 1
746 95 44 46 6 3
747 59 44 46 5 1
748 171 44 48 2 3
749 194 44 49 5 1
750 31 44 47 1 1

TECHNICIANS = 150
1 232 373 6 1 1 1 1 1 1
2 60 241 6 0 1 1 1 1 1
3 151 845 8 0 1 0 1 0 1
4 1 1025 5 1 1 1 1 1 1
5 1 358 5 1 1 1 1 1 1
6 1 1483 8 0 1 1 0 0 1
7 252 1255 9 1 1 0 1 0 0
8 1 1025 10 1 0 1 1 0 0
9 1 1002 9 1 0 1 0 1 1
10 1 977 10 0 0 1 1 1 0
11 15 1263 5 1 1 1 1 0 1
12 1 1221 7 1 0 1 1 0 0
13 143 317 6 1 1 0 1 1 1
14 1 925 6 1 1 0 0 1 1
15 177 1347 5 1 1 1 1 1 1
16 216 1035 5 0 0 0 0 0 1
17 1 154 9 1 1 1 1 1 1
18 119 810 10 0 0 1 0 0 0
19 33 1464 9 1 0 0 0 1 1
20 194 433 8 1 0 1 1 1 0
21 1 1315 8 0 0 1 1 1 0
22 185 279 6 1 1 1 1 1 1
23 10 718 10 0 1 1 1 1 1
24 1 1045 9 0 1 0 0 1 0
25 1 1255 5 0 0 0 1 0 0
26 25 1373 5 0 0 0 1 1 1
27 1 1467 9 0 0 1 0 1 0
28 188 1493 7 0 0 1 0 0 1
29 253 379 7 1 1 1 0 1 1
30 1 620 5 1 1 1 0 1 1
31 238 411 7 1 1 1 0 1 1
32 254 1460 5 1 1 1 1 1 1
33 1 486 8 0 1 0 0 0 0
34 192 1184 10 1 1 1 1 1 1
35 1 1419 5 0 0 0 0 1 0
36 181 1484 10 1 1 1 1 1 0
37 54 265 10 1 1 1 0 1 1
38 1 499 9 1 0 0 0 0 0
39 146 302 7 1 0 1 1 1 1
40 128 376 8 0 1 1 1 1 0
41 36 1133 6 1 1 1 1 1 1
42 1 231 10 1 1 1 1 1 0
43 1 770 9 0 0 0 0 1 1
44 255 983 10 1 1 1 1 1 0
45 208 570 5 0 0 0 1 1 0
46 28 349 9 1 0 0 1 1 1
47 1 171 8 1 0 0 1 1 0
48 1 460 8 1 1 0 1 1 0
49 1 1108 5 1 1 1 1 1 1
50 112 1223 5 0 0 1 1 1 1
51 27 1013 9 0 0 1 1 1 1
52 1 1208 7 1 1 1 1 0 0
53 1 746 8 1 1 1 1 1 1
54 1 1398 5 1 1 1 0 1 1
55 1 1020 10 1 1 0 0 1 1
56 1 1447 10 0 1 1 0 0 0
57 246 865 5 1 1 0 1 0 1
58 59 1290 10 1 0 1 0 1 1
59 167 742 7 1 1 0 0 1 0
60 1 853 7 1 0 0 1 0 0
61 1 1287 7 0 0 0 0 1 1
62 1 1294 9 0 0 1 1 0 0
63 114 557 7 1 1 0 0 0 0
64 182 1311 9 0 0 0 0 1 0
65 1 1007 10 0 1 1 1 1 1
66 1 1085 6 1 1 1 0 1 1
67 1 1045 6 1 0 0 0 0 0
68 1 778 8 0 1 0 0 0 1
69 175 412 7 1 1 1 1 0 0
70 256 992 6 1 1 1 0 0 0
71 12 1466 6 1 1 1 0 1 1
72 147 1415 10 1 1 1 0 0 0
73 195 369 10 0 0 0 1 0 0
74 1 1348 7 1 0 1 1 1 1
75 1 617 6 0 1 1 1 1 0
76 1 645 9 0 1 0 1 1 1
77 1 921 8 0 0 0 1 0 0
78 1 1243 7 1 1 1 1 0 1
79 24 1029 10 0 0 0 0 1 1
80 44 1242 5 1 1 1 1 1 1
81 1 299 8 0 1 0 1 0 1
82 4 375 8 1 1 1 0 1 0
83 257 1272 7 0 1 0 1 1 1
84 133 1452 7 0 0 1 0 0 0
85 1 522 9 1 1 1 1 0 0
86 1 603 10 0 0 1 0 1 1
87 216 653 7 1 0 1 0 0 0
88 258 1100 6 0 0 0 0 1 0
89 1 405 5 1 1 0 1 1 1
90 1 955 8 0 0 0 0 0 1
91 1 386 9 0 0 0 1 1 1
92 151 1229 5 1 1 1 1 1 1
93 1 1476 6 0 0 0 1 1 0
94 143 1318 5 1 1 0 1 1 1
95 259 1066 5 1 0 1 0 1 0
96 36 1246 6 0 1 0 0 0 1
97 90 166 10 1 0 0 0 1 0
98 243 1323 9 0 0 0 1 0 0
99 260 652 8 1 1 1 1 1 1
100 44 1342 8 0 0 0 1 1 0
101 7 1134 5 0 0 0 1 0 0
102 1 1442 9 1 0 1 1 1 0
103 1 568 6 1 0 1 1 0 1
104 1 933 7 0 1 0 1 0 0
105 87 550 5 0 0 1 1 0 1
106 72 1358 9 0 0 0 0 1 0
107 183 607 5 0 0 0 1 0 0
108 1 624 10 1 1 1 0 1 1
109 261 600 5 0 0 1 1 1 0
110 177 1278 9 1 1 1 1 1 1
111 1 727 6 1 0 0 1 1 0
112 1 207 7 1 1 1 1 1 1
113 262 1210 5 0 0 1 0 0 1
114 1 883 10 0 0 1 1 0 0
115 1 1254 10 0 0 0 1 0 0
116 1 1017 7 1 1 1 1 1 1
117 155 543 8 0 0 0 0 0 1
118 180 567 7 0 0 0 0 1 1
119 1 836 6 1 0 0 1 1 1
120 1 1084 7 1 0 1 1 0 0
121 164 1415 5 0 1 0 0 0 0
122 208 1009 7 0 1 1 1 1 1
123 263 253 8 1 1 1 1 1 1
124 242 1239 8 1 1 1 0 0 1
125 1 565 10 1 1 0 0 0 1
126 1 528 6 1 0 1 1 1 1
127 1 695 9 1 1 1 1 1 1
128 1 308 8 1 0 0 0 0 0
129 109 935 10 0 0 1 1 0 0
130 217 894 7 0 1 0 0 0 1
131 1 1266 9 1 1 1 0 1 1
132 1 1114 5 1 1 1 1 0 1
133 1 1354 10 0 0 0 1 0 1
134 1 1257 7 1 0 1 1 1 1
135 4 607 9 1 1 1 1 1 1
136 1 740 7 0 0 0 0 1 0
137 1 262 7 1 1 0 0 0 0
138 1 1058 8 1 1 0 1 0 1
139 264 362 10 1 0 0 0 0 0
140 1 869 9 1 1 1 1 1 1
141 144 692 9 1 1 1 1 0 1
142 265 1050 8 0 1 1 1 1 1
143 266 1409 9 1 0 1 1 1 1
144 150 441 7 1 0 1 0 1 1
145 166 814 5 0 0 1 0 0 0
146 1 227 5 1 1 1 1 1 1
147 20 406 5 0 0 0 1 0 0
148 118 1451 10 1 1 1 1 1 1
149 155 817 10 0 1 1 0 1 0
150 1 1030 10 0 1 1 1 1 1

